Distance_(microns)	Gray_Value
0.000	19.000
0.104	18.517
0.208	19.034
0.311	19.174
0.415	21.849
0.519	29.004
0.623	32.088
0.726	41.934
0.830	45.447
0.934	49.022
1.038	52.177
1.142	51.876
1.245	53.495
1.349	49.891
1.453	43.099
1.557	36.967
1.661	32.834
1.764	30.291
1.868	22.787
1.972	17.721
2.076	19.385
2.179	15.463
2.283	15.184
2.387	15.335
2.491	14.236
2.595	13.666
2.698	13.590
2.802	13.005
2.906	14.693
3.010	15.638
3.113	17.345
3.217	17.650
3.321	19.499
3.425	23.314
3.529	25.869
3.632	28.889
3.736	31.422
3.840	33.894
3.944	32.006
4.048	34.508
4.151	42.009
4.255	41.596
4.359	39.996
4.463	37.361
4.566	38.079
4.670	39.366
4.774	34.704
4.878	28.919
4.982	24.049
5.085	19.033
5.189	17.430
5.293	17.691
5.397	18.168
5.501	14.752
5.604	16.293
5.708	16.425
5.812	20.338
5.916	20.242
6.019	29.448
6.123	39.031
6.227	36.702
6.331	44.524
6.435	49.843
6.538	51.065
6.642	44.931
6.746	35.458
6.850	30.944
6.953	22.684
7.057	23.416
7.161	20.492
7.265	16.284
7.369	15.160
7.472	15.296
7.576	14.031
7.680	15.796
7.784	16.913
7.888	16.519
7.991	18.312
8.095	16.825
8.199	18.197
8.303	18.722
8.406	23.381
8.510	24.812
8.614	26.251
8.718	28.970
8.822	30.408
8.925	34.236
9.029	42.253
9.133	43.535
9.237	45.343
9.340	47.795
9.444	43.760
9.548	36.362
9.652	34.428
9.756	25.776
9.859	22.370
9.963	19.942
10.067	18.139
10.171	16.444
10.275	16.357
10.378	18.191
10.482	18.051
10.586	21.485
10.690	20.540
10.793	24.168
10.897	26.910
11.001	28.147
11.105	30.883
11.209	30.611
11.312	34.937
11.416	32.003
11.520	29.303
11.624	30.595
11.728	30.408
11.831	30.258
11.935	36.665
12.039	29.850
12.143	25.076
12.246	19.521
12.350	17.193
12.454	16.935
12.558	16.122
12.662	16.654
12.765	16.596
12.869	17.586
12.973	15.282
13.077	14.334
13.180	15.521
13.284	20.109
13.388	22.336
13.492	22.024
13.596	25.346
13.699	28.649
13.803	29.865
13.907	33.195
14.011	41.162
14.115	38.927
14.218	36.097
14.322	37.080
14.426	35.755
14.530	31.256
14.633	32.736
14.737	26.618
14.841	23.432
14.945	20.723
15.049	18.044
15.152	19.114
15.256	24.025
15.360	17.665
15.464	18.081
15.567	20.744
15.671	21.227
15.775	22.618
15.879	26.264
15.983	28.002
16.086	29.362
16.190	33.257
16.294	32.851
16.398	35.639
16.502	35.065
16.605	32.082
16.709	35.219
16.813	32.840
16.917	30.618
17.020	28.464
17.124	24.606
17.228	24.751
17.332	23.282
17.436	22.480
17.539	27.192
17.643	24.201
17.747	22.365
17.851	22.456
17.954	24.339
18.058	25.378
18.162	25.665
18.266	24.841
18.370	25.767
18.473	26.053
18.577	26.530
18.681	26.263
18.785	24.256
18.889	23.229
18.992	20.781
19.096	19.295
19.200	19.510
19.304	20.482
19.407	20.471
19.511	19.066
19.615	21.197
19.719	22.094
19.823	24.000
19.926	27.207
20.030	30.079
20.134	33.123
20.238	34.287
20.342	39.994
20.445	37.645
20.549	36.116
20.653	35.289
20.757	33.277
20.860	27.950
20.964	27.799
21.068	22.155
21.172	22.437
21.276	22.240
21.379	20.229
21.483	22.980
21.587	25.258
21.691	26.988
21.794	27.172
21.898	31.844
22.002	35.500
22.106	41.624
22.210	45.006
22.313	45.595
22.417	43.596
22.521	44.816
22.625	42.522
22.729	41.737
22.832	35.322
22.936	28.434
23.040	24.502
23.144	24.521
23.247	24.514
23.351	24.481
23.455	24.506
23.559	29.889
23.663	34.143
23.766	42.244
23.870	46.454
23.974	52.407
24.078	56.563
24.181	59.758
24.285	59.664
24.389	63.175
24.493	55.623
24.597	51.814
24.700	43.441
24.804	34.479
24.908	31.151
25.012	24.348
25.116	19.128
25.219	18.889
25.323	16.974
25.427	15.672
25.531	15.086
25.634	14.686
25.738	14.187
25.842	14.707
25.946	15.903
26.050	15.195
26.153	18.007
26.257	19.575
26.361	23.401
26.465	30.791
26.569	29.936
26.672	38.094
26.776	40.407
26.880	47.166
26.984	52.218
27.087	50.530
27.191	49.042
27.295	41.057
27.399	39.030
27.503	39.592
27.606	34.348
27.710	29.243
27.814	27.066
27.918	22.462
28.021	22.458
28.125	15.809
28.229	16.785
28.333	17.092
28.437	17.621
28.540	18.391
28.644	19.584
28.748	19.788
28.852	20.688
28.956	23.735
29.059	25.093
29.163	28.907
29.267	33.005
29.371	35.465
29.474	37.579
29.578	30.718
29.682	32.113
29.786	31.233
29.890	28.788
29.993	24.769
30.097	25.284
30.201	27.296
30.305	23.518
30.408	23.520
30.512	23.301
30.616	20.853
30.720	20.646
30.824	23.390
30.927	25.994
31.031	24.885
31.135	26.188
31.239	25.927
31.343	26.659
31.446	27.333
31.550	25.753
31.654	25.498
31.758	19.885
31.861	22.263
31.965	21.624
32.069	16.160
32.173	15.660
32.277	16.627
32.380	15.028
32.484	15.910
32.588	16.962
32.692	18.845
32.796	21.797
32.899	26.110
33.003	28.575
33.107	35.710
33.211	40.333
33.314	41.068
33.418	46.412
33.522	48.822
33.626	44.916
33.730	40.881
33.833	39.607
33.937	34.387
34.041	32.673
34.145	30.752
34.248	27.672
34.352	26.967
34.456	21.696
34.560	18.899
34.664	20.395
34.767	27.099
34.871	29.751
34.975	34.310
35.079	37.638
35.183	38.463
35.286	40.707
35.390	44.215
35.494	39.671
35.598	38.338
35.701	36.874
35.805	29.590
35.909	29.853
36.013	26.037
36.117	25.997
36.220	24.423
36.324	23.768
36.428	24.878
36.532	27.934
36.635	25.157
36.739	25.006
36.843	24.609
36.947	28.088
37.051	31.322
37.154	39.005
37.258	38.325
37.362	33.841
37.466	28.003
37.570	26.332
37.673	23.449
37.777	20.541
37.881	20.209
37.985	21.383
38.088	21.781
38.192	27.604
38.296	26.513
38.400	33.495
38.504	34.146
38.607	34.904
38.711	39.006
38.815	37.467
38.919	35.589
39.022	36.077
39.126	33.798
39.230	33.036
39.334	31.289
39.438	25.048
39.541	23.854
39.645	20.771
39.749	19.078
39.853	17.941
39.957	17.614
40.060	16.926
40.164	18.852
40.268	20.871
40.372	23.210
40.475	26.010
40.579	28.527
40.683	31.689
40.787	35.348
40.891	39.493
40.994	39.903
41.098	37.289
41.202	37.027
41.306	37.918
41.410	37.755
41.513	31.377
41.617	27.308
41.721	28.412
41.825	28.032
41.928	25.692
