Distance_(microns)	Gray_Value
0.000	58.000
0.104	62.653
0.208	63.956
0.311	75.705
0.415	77.809
0.519	79.019
0.623	82.386
0.726	97.960
0.830	99.296
0.934	97.666
1.038	90.645
1.142	85.938
1.245	74.983
1.349	59.448
1.453	54.576
1.557	52.112
1.661	47.193
1.764	35.050
1.868	29.924
1.972	31.285
2.076	23.865
2.179	19.493
2.283	22.981
2.387	17.348
2.491	19.009
2.595	19.693
2.698	23.015
2.802	24.648
2.906	34.898
3.010	28.374
3.113	31.156
3.217	40.423
3.321	53.253
3.425	63.669
3.529	55.170
3.632	75.254
3.736	82.836
3.840	84.132
3.944	68.333
4.048	79.325
4.151	78.996
4.255	75.982
4.359	61.743
4.463	57.909
4.566	40.560
4.670	50.861
4.774	43.356
4.878	34.896
4.982	29.357
5.085	32.821
5.189	30.845
5.293	25.900
5.397	26.636
5.501	35.103
5.604	37.943
5.708	38.699
5.812	26.493
5.916	36.196
6.019	36.752
6.123	39.407
6.227	30.311
6.331	31.298
6.435	31.804
6.538	28.958
6.642	26.623
6.746	25.934
6.850	25.928
6.953	26.469
7.057	38.239
7.161	32.149
7.265	36.995
7.369	42.312
7.472	49.093
7.576	57.199
7.680	61.485
7.784	53.154
7.888	60.415
7.991	70.677
8.095	64.679
8.199	77.441
8.303	76.225
8.406	65.753
8.510	60.346
8.614	53.666
8.718	56.883
8.822	41.045
8.925	32.035
9.029	35.262
9.133	29.404
9.237	28.157
9.340	28.222
9.444	24.712
9.548	25.825
9.652	27.287
9.756	32.588
9.859	31.503
9.963	34.618
10.067	36.329
10.171	46.276
10.275	67.200
10.378	88.717
10.482	91.939
10.586	92.649
10.690	86.820
10.793	98.083
10.897	99.097
11.001	84.889
11.105	83.270
11.209	74.412
11.312	54.043
11.416	57.871
11.520	47.377
11.624	41.554
11.728	31.936
11.831	30.320
11.935	28.602
12.039	25.432
12.143	23.517
12.246	23.262
12.350	20.467
12.454	26.322
12.558	26.142
12.662	20.349
12.765	30.165
12.869	30.251
12.973	31.708
13.077	38.186
13.180	31.653
13.284	42.615
13.388	45.529
13.492	51.699
13.596	51.815
13.699	51.861
13.803	66.631
13.907	74.009
14.011	67.903
