Distance_(microns)	Gray_Value
0.000	13.000
0.104	17.513
0.208	22.625
0.311	28.030
0.415	38.700
0.519	38.123
0.623	41.018
0.726	45.380
0.830	43.152
0.934	46.323
1.038	44.778
1.142	33.573
1.245	31.649
1.349	27.412
1.453	24.211
1.557	19.536
1.661	17.691
1.764	16.821
1.868	13.762
1.972	13.871
2.076	14.391
2.179	14.879
2.283	14.468
2.387	15.674
2.491	16.177
2.595	17.760
2.698	22.003
2.802	25.863
2.906	28.952
3.010	34.837
3.113	31.702
3.217	32.740
3.321	28.105
3.425	22.857
3.529	19.160
3.632	16.012
3.736	17.206
3.840	16.239
3.944	15.717
4.048	19.222
4.151	24.197
4.255	27.110
4.359	38.118
4.463	48.839
4.566	55.331
4.670	50.792
4.774	51.688
4.878	46.797
4.982	38.756
5.085	33.956
5.189	28.504
5.293	26.348
5.397	24.513
5.501	24.776
5.604	23.170
5.708	23.466
5.812	26.943
5.916	31.639
6.019	34.117
6.123	46.603
6.227	45.771
6.331	43.771
6.435	43.821
6.538	37.258
6.642	33.387
6.746	27.644
6.850	27.206
6.953	22.392
7.057	20.879
7.161	20.799
7.265	20.817
7.369	22.893
7.472	22.633
7.576	22.782
7.680	29.637
7.784	34.118
7.888	43.727
7.991	51.506
8.095	56.009
8.199	60.865
8.303	60.969
8.406	58.798
8.510	49.117
8.614	40.787
8.718	31.557
8.822	29.042
8.925	20.083
9.029	18.415
9.133	18.099
9.237	18.708
9.340	19.240
9.444	22.703
9.548	23.399
9.652	33.342
9.756	38.833
9.859	49.883
9.963	61.627
10.067	77.118
10.171	85.811
10.275	92.626
10.378	91.577
10.482	86.175
10.586	70.441
10.690	55.332
10.793	48.405
10.897	39.813
11.001	30.807
11.105	24.171
11.209	19.475
11.312	17.892
11.416	16.911
11.520	19.613
11.624	18.134
11.728	23.188
11.831	33.078
11.935	40.540
12.039	43.453
12.143	46.685
12.246	52.086
12.350	53.082
12.454	52.331
12.558	48.008
12.662	59.844
12.765	67.939
12.869	74.031
12.973	71.429
13.077	73.215
13.180	64.868
13.284	55.471
13.388	55.058
13.492	44.973
13.596	40.542
13.699	37.198
13.803	38.873
13.907	39.295
14.011	45.339
14.115	61.168
14.218	76.156
14.322	102.279
14.426	132.068
14.530	151.763
14.633	166.629
14.737	178.124
14.841	196.549
14.945	161.663
15.049	146.149
15.152	129.747
15.256	92.324
15.360	72.159
15.464	53.043
15.567	37.804
15.671	29.023
15.775	23.950
15.879	24.380
15.983	24.969
16.086	23.950
16.190	31.574
16.294	43.044
16.398	60.770
16.502	81.111
16.605	88.940
16.709	101.648
16.813	120.493
16.917	121.844
17.020	109.779
17.124	91.730
17.228	71.686
17.332	53.901
17.436	41.259
17.539	30.108
17.643	24.290
17.747	23.393
17.851	26.258
17.954	29.347
18.058	39.456
18.162	56.421
18.266	69.019
18.370	77.770
18.473	89.384
18.577	98.432
18.681	99.494
18.785	103.445
18.889	87.917
18.992	68.088
19.096	54.797
19.200	41.111
19.304	29.548
19.407	24.221
19.511	21.407
19.615	23.677
19.719	26.751
19.823	33.020
19.926	42.709
20.030	49.281
20.134	61.471
20.238	67.512
20.342	70.898
20.445	73.860
20.549	72.756
20.653	70.749
20.757	66.762
20.860	59.079
20.964	47.387
21.068	42.702
21.172	34.883
21.276	28.758
21.379	26.154
21.483	22.829
21.587	22.246
21.691	24.043
21.794	28.916
21.898	31.536
22.002	32.862
22.106	33.000
22.210	36.907
22.313	36.626
22.417	32.571
22.521	34.712
