Distance_(microns)	Gray_Value
41.306	18.996
41.410	20.885
41.513	19.945
41.617	22.964
41.721	26.355
41.825	25.942
41.928	30.917
42.032	18.834
42.136	24.406
42.240	30.200
42.344	38.016
42.447	35.253
42.551	28.715
42.655	19.676
42.759	19.595
42.862	19.129
42.966	11.820
43.070	12.465
43.174	19.604
43.278	15.618
43.381	14.238
43.485	15.939
43.589	13.690
43.693	15.631
43.797	16.491
43.900	11.689
44.004	11.196
44.108	17.025
44.212	11.516
44.315	9.810
44.419	13.930
44.523	17.535
44.627	20.160
44.731	10.526
44.834	17.534
44.938	25.924
45.042	13.913
45.146	24.267
45.249	15.305
45.353	20.736
45.457	15.507
45.561	21.784
45.665	29.666
45.768	26.037
45.872	28.145
45.976	35.372
46.080	22.189
46.184	17.667
46.287	27.509
46.391	24.110
46.495	26.032
46.599	19.440
46.702	19.214
46.806	17.871
46.910	27.500
47.014	22.113
47.118	14.863
47.221	14.802
47.325	16.933
47.429	13.790
47.533	12.200
47.637	11.759
47.740	13.873
47.844	10.224
47.948	13.159
48.052	15.507
48.155	13.249
48.259	19.835
48.363	20.611
48.467	22.343
48.571	17.032
48.674	22.279
48.778	26.996
48.882	19.971
48.986	22.657
49.089	27.612
49.193	28.895
49.297	23.945
49.401	31.510
49.505	20.410
49.608	17.013
49.712	22.198
49.816	23.414
49.920	15.500
50.024	18.046
50.127	20.490
50.231	13.444
50.335	15.764
50.439	15.128
50.542	12.847
50.646	17.921
50.750	13.611
50.854	17.256
50.958	11.862
51.061	14.749
51.165	31.563
51.269	15.321
51.373	17.493
51.476	19.337
51.580	14.155
51.684	14.434
51.788	16.466
51.892	13.714
51.995	16.995
52.099	17.630
52.203	21.015
52.307	25.953
52.411	24.410
52.514	32.178
52.618	22.664
52.722	14.622
52.826	17.648
52.929	9.526
53.033	11.274
53.137	16.069
53.241	12.263
53.345	14.455
53.448	12.446
53.552	9.051
53.656	11.147
53.760	10.051
53.863	10.470
53.967	14.655
54.071	18.488
54.175	13.613
54.279	12.581
54.382	14.516
54.486	19.287
54.590	16.813
54.694	21.819
54.798	21.634
54.901	26.041
55.005	21.901
55.109	24.691
55.213	24.091
55.316	24.928
55.420	17.033
55.524	21.179
55.628	19.590
55.732	24.709
55.835	23.446
55.939	19.350
56.043	19.920
56.147	17.095
56.251	21.291
56.354	16.178
56.458	20.621
56.562	19.660
56.666	16.412
56.769	13.556
56.873	14.083
56.977	11.285
57.081	15.978
57.185	13.861
57.288	12.480
57.392	12.668
57.496	15.325
57.600	19.414
57.703	24.500
57.807	24.462
57.911	30.351
58.015	28.279
58.119	34.159
58.222	40.239
58.326	47.691
58.430	34.751
58.534	38.794
58.638	41.748
58.741	39.543
58.845	46.782
58.949	43.157
59.053	31.371
59.156	25.867
