Distance_(microns)	Gray_Value
36.635	22.8730
36.739	24.0742
36.843	22.3774
36.947	26.5115
37.051	19.7863
37.154	17.9351
37.258	16.2428
37.362	16.1577
37.466	20.3737
37.570	18.9751
37.673	19.6141
37.777	15.4229
37.881	16.5062
37.985	18.6184
38.088	21.4977
38.192	16.0387
38.296	13.6727
38.400	13.8247
38.504	9.5632
38.607	14.5466
38.711	14.4305
38.815	11.9921
38.919	9.0039
39.022	7.6450
39.126	8.2701
39.230	11.6182
39.334	9.4885
39.438	8.5795
39.541	10.0393
39.645	10.4128
39.749	10.9142
39.853	9.5004
39.957	9.7774
40.060	11.3172
40.164	11.9573
40.268	12.8741
40.372	12.5847
40.475	17.5796
40.579	22.6442
40.683	17.4502
40.787	19.1230
40.891	25.4079
40.994	22.6948
41.098	18.1793
41.202	12.9451
41.306	18.0359
41.410	17.3313
41.513	18.3939
41.617	19.1623
41.721	14.2501
41.825	15.8957
41.928	11.1491
42.032	16.7698
42.136	14.1789
42.240	9.9142
42.344	10.8370
42.447	11.6699
42.551	9.6644
42.655	8.9984
42.759	9.9922
42.862	8.6366
42.966	8.1759
43.070	11.4683
43.174	10.2709
43.278	8.0813
43.381	11.3838
43.485	12.3624
43.589	13.5610
43.693	20.2658
43.797	20.0192
43.900	16.0509
44.004	22.9117
44.108	32.8172
44.212	24.6062
44.315	19.1226
44.419	25.3085
44.523	27.5673
44.627	25.8394
44.731	27.3886
44.834	22.5569
44.938	24.8579
45.042	30.1895
45.146	17.4442
45.249	17.8245
45.353	19.1668
45.457	24.3481
45.561	19.4025
45.665	10.9358
45.768	14.0522
45.872	11.0520
45.976	11.1631
46.080	14.1979
46.184	17.0637
46.287	12.8045
46.391	14.6885
46.495	18.0426
46.599	16.5314
46.702	19.8339
46.806	27.5803
46.910	22.2253
47.014	22.3178
47.118	31.0634
47.221	37.0008
47.325	39.4099
47.429	33.2428
47.533	32.4124
47.637	37.2189
47.740	33.9897
47.844	30.7274
47.948	31.6745
48.052	33.3768
48.155	30.2774
48.259	25.1055
48.363	16.3529
48.467	23.5857
48.571	18.6170
48.674	19.1580
48.778	17.0555
48.882	15.6828
48.986	11.6424
49.089	11.1226
49.193	16.2582
49.297	11.3149
49.401	11.2889
49.505	9.3318
49.608	8.9944
49.712	9.5501
49.816	11.7797
49.920	12.9698
50.024	15.0216
50.127	14.0324
50.231	13.2618
50.335	16.8921
50.439	22.7925
50.542	25.4201
50.646	25.1357
50.750	19.5719
50.854	17.6869
50.958	16.8926
51.061	16.5220
51.165	15.7913
51.269	15.6637
51.373	14.4503
51.476	12.8262
51.580	12.4313
51.684	11.8126
51.788	16.9408
51.892	16.2153
51.995	9.6145
52.099	20.9860
52.203	17.6674
52.307	15.8730
52.411	17.0795
52.514	17.9469
52.618	16.0005
52.722	22.9267
52.826	27.9088
52.929	34.2689
53.033	27.1538
53.137	28.5959
53.241	30.6589
53.345	28.4001
53.448	28.0178
53.552	24.6979
53.656	19.2414
53.760	25.3066
53.863	20.1840
53.967	16.8633
54.071	12.1489
54.175	12.0522
54.279	10.5010
54.382	8.3075
54.486	11.5982
54.590	11.4054
54.694	9.8172
54.798	9.1415
54.901	8.4297
55.005	10.8906
55.109	11.8843
55.213	12.3277
55.316	13.9926
55.420	13.1630
55.524	15.6736
55.628	20.7623
55.732	22.6146
55.835	23.9077
55.939	27.5210
56.043	25.5546
56.147	30.6913
56.251	35.2720
56.354	39.3971
56.458	23.0396
56.562	29.3118
56.666	27.7777
56.769	31.5569
56.873	21.4054
56.977	18.5503
57.081	14.8123
57.185	14.7052
57.288	16.5077
57.392	13.3244
57.496	9.4880
57.600	11.0424
57.703	11.0614
57.807	9.0202
57.911	8.0063
58.015	10.8161
58.119	8.1131
58.222	8.1542
58.326	8.5538
58.430	9.8184
58.534	12.2398
58.638	11.1861
58.741	11.4477
58.845	12.4262
58.949	15.6098
59.053	12.9944
59.156	17.4002
59.260	21.1462
59.364	23.0533
59.468	27.8079
59.572	30.4866
59.675	29.9624
59.779	28.2411
59.883	28.3068
59.987	25.3302
60.090	24.7430
60.194	25.2567
60.298	21.8338
60.402	28.0287
60.506	30.1194
60.609	17.7142
60.713	14.0194
60.817	17.2836
60.921	14.3702
61.025	15.5017
61.128	13.0781
61.232	15.7564
61.336	11.0822
61.440	10.1203
61.543	12.9637
61.647	13.4583
61.751	10.4550
61.855	10.8715
61.959	14.8208
62.062	12.7782
62.166	19.1886
62.270	15.1308
62.374	16.4342
62.478	18.1623
62.581	19.3465
62.685	21.1253
62.789	17.6514
62.893	33.5473
62.996	28.4602
63.100	27.5692
63.204	26.1287
63.308	27.3036
63.412	21.3235
63.515	22.3037
63.619	28.4425
63.723	20.7827
63.827	17.1534
63.930	19.6446
64.034	21.7481
64.138	15.5047
64.242	17.0374
64.346	19.2460
64.449	12.9878
64.553	16.5977
64.657	16.8692
64.761	11.1639
64.865	13.5298
64.968	12.2528
65.072	12.9356
65.176	12.8441
65.280	19.9404
65.383	15.9286
65.487	14.5521
65.591	9.1321
65.695	15.4176
65.799	11.1990
65.902	8.7053
66.006	9.9038
66.110	12.3302
66.214	12.0431
66.317	8.7576
66.421	9.5786
66.525	10.5542
66.629	9.4922
66.733	11.8484
66.836	10.0271
66.940	10.2905
67.044	9.9417
67.148	10.2522
67.252	7.9383
67.355	7.6127
67.459	7.4478
67.563	9.6073
67.667	8.9522
67.770	8.6179
67.874	8.8895
67.978	10.3535
68.082	14.1156
68.186	12.9275
68.289	18.0234
68.393	18.0821
68.497	28.9150
68.601	36.0062
68.704	43.9856
68.808	52.5955
68.912	41.6054
69.016	43.8849
69.120	34.5071
69.223	47.0846
69.327	36.5118
69.431	35.6564
69.535	27.3308
69.639	22.7428
69.742	18.4317
69.846	17.5124
69.950	19.3370
70.054	13.9698
70.157	11.7336
70.261	12.7346
70.365	12.8853
70.469	12.4886
70.573	8.8029
70.676	11.3886
70.780	11.9234
70.884	15.1991
70.988	11.5670
71.092	15.0834
71.195	17.5704
71.299	16.2642
71.403	21.5181
71.507	26.0416
71.610	28.9571
71.714	40.3076
71.818	40.9427
71.922	52.0171
72.026	53.6166
72.129	35.3695
72.233	39.8762
72.337	36.8124
72.441	36.7889
72.544	26.5299
72.648	30.1119
72.752	28.7402
72.856	22.5587
72.960	20.3474
73.063	18.9207
73.167	17.2080
73.271	19.1500
73.375	13.2417
73.479	11.3932
73.582	12.8970
73.686	14.2435
73.790	13.2817
73.894	11.4176
73.997	10.9059
74.101	12.7598
74.205	12.4027
74.309	10.9771
74.413	16.9806
74.516	23.9586
74.620	20.6733
74.724	18.0475
74.828	26.9340
74.931	25.0316
75.035	24.3380
75.139	25.3568
75.243	27.4843
75.347	25.3056
75.450	24.2731
75.554	32.9049
75.658	20.4439
75.762	14.3801
75.866	19.0281
75.969	16.3592
76.073	13.4608
76.177	16.7544
76.281	13.2850
76.384	12.5888
76.488	11.1522
76.592	12.2534
76.696	12.2402
76.800	17.0836
76.903	7.2390
77.007	10.6950
77.111	10.5717
77.215	10.8127
77.319	9.4222
77.422	10.6627
77.526	12.0989
77.630	9.8871
77.734	12.1792
77.837	15.3970
77.941	20.4633
78.045	21.4805
78.149	24.0629
78.253	28.4814
78.356	35.6212
78.460	29.7761
78.564	35.3985
78.668	36.6427
78.771	31.5193
78.875	33.5318
78.979	33.3769
79.083	31.3419
79.187	29.9534
79.290	23.7685
79.394	21.8710
79.498	23.7828
79.602	20.7128
79.706	19.0232
79.809	16.2966
79.913	10.8777
80.017	13.0026
80.121	10.7399
80.224	10.4490
80.328	11.9719
80.432	9.6500
80.536	9.2017
80.640	8.1768
80.743	13.2120
80.847	16.0768
80.951	18.7926
81.055	16.3228
81.158	18.8515
81.262	30.5752
81.366	32.2687
81.470	26.3661
81.574	33.3958
81.677	33.3535
81.781	29.5254
81.885	28.1954
81.989	24.6768
82.093	19.3541
82.196	19.9771
82.300	18.3376
82.404	16.0295
82.508	13.3343
82.611	14.3787
82.715	15.9887
82.819	14.8158
82.923	13.4987
83.027	14.2427
83.130	12.8079
83.234	9.6942
83.338	12.6250
83.442	12.9000
83.546	14.2722
83.649	11.9662
83.753	18.5146
83.857	19.2449
83.961	12.7945
84.064	18.4077
84.168	19.7054
84.272	14.5202
84.376	15.0763
84.480	23.1472
84.583	20.6532
84.687	18.7471
84.791	24.8962
84.895	18.6463
84.998	15.6490
85.102	16.2518
85.206	19.6819
85.310	21.9700
85.414	17.2453
85.517	21.7453
85.621	18.5484
85.725	20.7282
85.829	20.9715
85.933	20.3229
86.036	23.0699
86.140	16.2831
86.244	15.7494
86.348	13.5480
86.451	13.2279
86.555	13.8445
86.659	18.5967
86.763	17.0431
