Distance_(microns)	Gray_Value
36.6355	36.297
36.7393	27.924
36.8430	26.658
36.9468	25.288
37.0506	27.678
37.1544	19.654
37.2582	22.086
37.3620	24.468
37.4657	38.404
37.5695	53.403
37.6733	58.628
37.7771	82.447
37.8809	114.834
37.9847	132.330
38.0884	148.761
38.1922	147.020
38.2960	144.782
38.3998	127.081
38.5036	89.832
38.6074	64.358
38.7111	41.422
38.8149	23.322
38.9187	23.725
39.0225	26.715
39.1263	16.351
39.2301	20.318
39.3338	23.420
39.4376	25.075
39.5414	29.719
39.6452	42.185
39.7490	54.624
39.8528	72.430
39.9565	114.305
40.0603	132.721
40.1641	147.890
40.2679	171.439
40.3717	172.204
40.4755	189.114
40.5792	161.816
40.6830	112.585
40.7868	78.556
40.8906	48.077
40.9944	25.546
41.0982	22.385
41.2019	24.016
41.3057	20.053
41.4095	18.621
41.5133	18.567
41.6171	19.939
41.7209	21.980
41.8246	30.723
41.9284	41.712
42.0322	76.599
42.1360	129.429
42.2398	153.493
42.3436	181.154
42.4473	184.879
42.5511	184.916
42.6549	165.260
42.7587	161.400
42.8625	115.192
42.9663	72.449
43.0700	32.738
43.1738	21.185
43.2776	23.375
43.3814	27.612
43.4852	15.421
43.5890	30.688
43.6927	28.705
43.7965	32.245
43.9003	44.259
44.0041	56.585
44.1079	56.378
44.2117	60.742
44.3154	71.434
44.4192	62.674
44.5230	61.488
44.6268	49.762
44.7306	54.370
44.8344	54.277
44.9381	72.930
45.0419	69.319
45.1457	78.120
45.2495	88.239
45.3533	89.855
45.4571	75.345
45.5608	82.446
45.6646	89.622
45.7684	99.499
45.8722	81.451
45.9760	71.584
46.0798	69.606
46.1835	47.637
46.2873	46.219
46.3911	37.985
46.4949	44.673
46.5987	50.016
46.7025	54.534
46.8062	51.969
46.9100	49.687
47.0138	54.039
47.1176	47.067
47.2214	41.516
47.3252	35.752
47.4289	39.444
47.5327	26.792
47.6365	24.923
47.7403	20.007
47.8441	26.992
47.9479	24.020
48.0516	24.601
48.1554	35.424
48.2592	46.870
48.3630	61.658
48.4668	76.710
48.5706	106.771
48.6743	93.593
48.7781	87.567
48.8819	84.838
48.9857	67.506
49.0895	68.588
49.1933	54.573
49.2970	41.642
49.4008	26.711
49.5046	18.510
49.6084	13.183
49.7122	11.767
49.8159	12.293
49.9197	11.740
50.0235	10.763
50.1273	15.674
50.2311	16.520
50.3349	25.988
50.4386	34.579
50.5424	49.842
50.6462	81.730
50.7500	116.639
50.8538	150.542
50.9576	146.018
51.0613	164.295
51.1651	178.456
51.2689	152.001
51.3727	143.433
51.4765	121.795
51.5803	82.287
51.6840	49.028
51.7878	40.351
51.8916	20.674
51.9954	17.450
52.0992	14.201
52.2030	10.907
52.3067	12.394
52.4105	13.798
52.5143	10.040
52.6181	11.917
52.7219	11.590
52.8257	14.783
52.9294	18.007
53.0332	32.535
53.1370	43.996
53.2408	65.239
53.3446	101.605
53.4484	133.282
53.5521	165.883
53.6559	171.667
53.7597	161.236
53.8635	137.991
53.9673	107.232
54.0711	105.572
54.1748	63.009
54.2786	43.036
54.3824	31.268
54.4862	20.691
54.5900	19.871
54.6938	18.423
54.7975	16.579
54.9013	20.134
55.0051	20.191
55.1089	27.636
55.2127	40.064
55.3165	59.321
55.4202	72.397
55.5240	84.054
55.6278	84.839
55.7316	100.580
55.8354	111.263
55.9392	120.296
56.0429	125.818
56.1467	129.526
56.2505	151.448
56.3543	152.609
56.4581	149.993
56.5619	115.353
56.6656	85.086
56.7694	66.725
56.8732	50.414
56.9770	34.060
57.0808	24.671
57.1846	20.352
57.2883	19.510
57.3921	19.312
57.4959	21.542
57.5997	27.640
57.7035	30.779
57.8073	32.108
57.9110	36.176
58.0148	68.287
58.1186	77.455
58.2224	102.598
58.3262	103.922
58.4300	106.629
58.5337	95.150
58.6375	92.208
58.7413	87.554
58.8451	90.778
58.9489	58.882
59.0527	48.556
59.1564	30.461
59.2602	19.738
59.3640	30.399
59.4678	35.000
59.5716	34.444
59.6754	37.783
59.7791	42.809
59.8829	57.070
59.9867	75.479
60.0905	88.970
60.1943	100.773
60.2981	104.823
60.4018	105.445
60.5056	92.362
60.6094	82.106
60.7132	57.496
60.8170	34.902
60.9208	24.606
61.0245	24.617
61.1283	22.631
61.2321	23.263
61.3359	27.420
61.4397	41.166
61.5435	46.624
61.6472	72.341
61.7510	88.971
61.8548	118.011
61.9586	151.322
62.0624	142.668
62.1662	162.463
62.2699	165.497
62.3737	188.334
62.4775	170.849
62.5813	144.064
62.6851	131.932
62.7889	109.758
62.8926	78.601
62.9964	50.357
63.1002	35.357
63.2040	21.466
63.3078	20.982
63.4116	18.389
63.5153	19.437
63.6191	16.966
63.7229	19.520
63.8267	22.345
63.9305	22.798
64.0343	34.323
64.1380	34.229
64.2418	48.923
64.3456	67.336
64.4494	93.081
64.5532	143.345
64.6570	170.846
64.7607	200.812
