Distance_(microns)	Gray_Value
41.306	124.204
41.410	110.126
41.513	101.541
41.617	98.572
41.721	67.911
41.825	44.537
41.928	33.673
42.032	21.223
42.136	23.553
42.240	18.133
42.344	11.951
42.447	15.576
42.551	11.820
42.655	15.155
42.759	16.093
42.862	18.838
42.966	18.524
43.070	27.030
43.174	52.065
43.278	52.153
43.381	66.460
43.485	66.872
43.589	69.805
43.693	55.537
43.797	47.304
43.900	21.576
44.004	23.384
44.108	21.113
44.212	23.285
44.315	17.085
44.419	17.572
44.523	11.733
44.627	18.492
44.731	13.962
44.834	17.199
44.938	14.898
45.042	19.444
45.146	20.359
45.249	20.359
45.353	21.975
45.457	24.997
45.561	33.124
45.665	37.425
45.768	41.193
45.872	50.684
45.976	42.846
46.080	39.423
46.184	40.321
46.287	47.770
46.391	34.133
46.495	39.023
46.599	47.325
46.702	45.857
46.806	51.539
46.910	39.116
47.014	43.163
47.118	35.396
47.221	25.704
47.325	33.013
47.429	25.324
47.533	17.971
47.637	13.662
47.740	13.179
47.844	13.522
47.948	16.323
48.052	16.318
48.155	22.296
48.259	22.152
48.363	25.020
48.467	33.449
48.571	40.042
48.674	49.660
48.778	52.168
48.882	68.098
48.986	55.083
49.089	55.272
49.193	51.038
49.297	38.801
49.401	41.256
49.505	33.276
49.608	31.608
49.712	26.057
49.816	31.207
49.920	33.505
50.024	32.913
50.127	49.037
50.231	43.431
50.335	63.082
50.439	63.776
50.542	62.194
50.646	66.108
50.750	70.339
50.854	63.429
50.958	75.980
51.061	53.548
51.165	43.490
51.269	44.231
51.373	53.681
51.476	84.490
51.580	87.097
51.684	110.300
51.788	135.027
51.892	164.733
51.995	193.612
52.099	196.208
52.203	176.166
52.307	176.872
52.411	157.635
52.514	122.412
52.618	117.090
52.722	98.617
52.826	76.284
52.929	65.719
53.033	53.862
53.137	40.994
53.241	34.423
53.345	36.023
53.448	27.263
53.552	42.786
53.656	55.072
53.760	52.531
53.863	63.747
53.967	89.978
54.071	87.333
54.175	85.046
54.279	95.553
54.382	85.196
54.486	62.906
54.590	56.365
54.694	39.275
54.798	33.353
54.901	40.598
55.005	31.842
55.109	33.832
55.213	40.697
55.316	46.152
55.420	57.126
55.524	69.016
55.628	79.046
55.732	116.736
55.835	118.164
55.939	158.897
56.043	185.569
56.147	202.624
56.251	182.291
56.354	157.833
56.458	119.303
56.562	93.692
56.666	66.495
56.769	36.394
56.873	38.223
56.977	30.976
57.081	21.488
57.185	21.350
57.288	29.436
57.392	20.082
57.496	18.492
57.600	21.073
57.703	22.117
57.807	26.300
57.911	30.923
58.015	32.461
58.119	46.849
58.222	72.601
58.326	82.856
58.430	116.521
58.534	153.896
58.638	178.994
58.741	204.848
58.845	206.275
58.949	233.666
59.053	227.191
59.156	239.053
59.260	210.793
59.364	212.233
59.468	202.472
59.572	157.493
59.675	140.077
59.779	116.439
59.883	80.023
59.987	60.987
60.090	75.177
60.194	37.944
60.298	35.998
60.402	34.284
60.506	32.748
60.609	22.451
60.713	20.222
60.817	23.716
60.921	21.707
61.025	24.572
61.128	20.795
61.232	24.254
61.336	19.681
61.440	17.059
61.543	16.271
61.647	15.668
61.751	18.214
61.855	16.663
61.959	19.102
62.062	21.008
62.166	28.080
62.270	23.009
62.374	22.273
62.478	33.935
62.581	36.186
62.685	35.987
62.789	45.792
62.893	71.373
62.996	85.981
63.100	88.084
63.204	103.044
63.308	133.640
63.412	147.160
63.515	165.683
63.619	171.601
63.723	192.435
63.827	212.859
63.930	234.000
64.034	209.579
64.138	227.710
64.242	238.680
64.346	234.399
64.449	233.525
64.553	225.463
64.657	183.283
64.761	147.146
64.865	95.490
64.968	55.038
65.072	35.580
65.176	34.527
65.280	31.698
65.383	23.420
65.487	24.546
65.591	19.047
65.695	17.398
65.799	17.462
65.902	18.058
66.006	18.967
66.110	16.546
66.214	17.454
66.317	28.463
66.421	30.985
66.525	35.771
66.629	46.269
66.733	52.644
66.836	65.504
66.940	95.143
67.044	112.315
67.148	112.461
67.252	135.533
67.355	152.440
67.459	164.704
67.563	164.210
67.667	133.038
67.770	106.655
67.874	90.955
67.978	69.783
68.082	54.852
68.186	59.467
68.289	37.431
68.393	25.339
68.497	18.899
68.601	14.887
68.704	22.659
68.808	25.293
68.912	23.232
69.016	23.901
